MeasuringCycle,CallCycle,Weak,Strong,Total
5,10,61,39,100
10,10,61,39,100
20,10,0,0,0
40,10,0,0,0
50,10,0,0,0
100,10,0,0,0
200,10,0,0,0
500,10,0,0,0
1000,10,0,0,0
5,20,62,38,100
10,20,62,38,100
20,20,66,23,89
40,20,0,0,0
50,20,0,0,0
100,20,0,0,0
200,20,0,0,0
500,20,0,0,0
1000,20,0,0,0
5,40,52,48,100
10,40,52,48,100
20,40,56,33,89
40,40,49,23,72
50,40,0,0,0
100,40,0,0,0
200,40,0,0,0
500,40,0,0,0
1000,40,0,0,0
5,50,56,44,100
10,50,56,44,100
20,50,56,33,89
40,50,49,23,72
50,50,45,11,56
100,50,0,0,0
200,50,0,0,0
500,50,0,0,0
1000,50,0,0,0
5,100,50,50,100
10,100,50,50,100
20,100,53,36,89
40,100,49,23,72
50,100,39,17,56
100,100,23,12,35
200,100,0,0,0
500,100,0,0,0
1000,100,0,0,0
5,200,50,50,100
10,200,50,50,100
20,200,50,39,89
40,200,44,28,72
50,200,38,18,56
100,200,22,13,35
200,200,12,6,18
500,200,0,0,0
1000,200,0,0,0
5,400,50,50,100
10,400,50,50,100
20,400,50,39,89
40,400,44,28,72
50,400,38,18,56
100,400,22,13,35
200,400,12,6,18
500,400,0,0,0
1000,400,0,0,0
5,500,50,50,100
10,500,50,50,100
20,500,50,39,89
40,500,44,28,72
50,500,38,18,56
100,500,22,13,35
200,500,12,6,18
500,500,2,1,3
1000,500,0,0,0
5,1000,50,50,100
10,1000,50,50,100
20,1000,50,39,89
40,1000,44,28,72
50,1000,38,18,56
100,1000,22,13,35
200,1000,12,6,18
500,1000,2,1,3
1000,1000,0,0,0
5,2000,50,50,100
10,2000,50,50,100
20,2000,50,39,89
40,2000,44,28,72
50,2000,38,18,56
100,2000,22,13,35
200,2000,12,6,18
500,2000,2,1,3
1000,2000,0,0,0
5,3000,50,50,100
10,3000,50,50,100
20,3000,50,39,89
40,3000,44,28,72
50,3000,38,18,56
100,3000,22,13,35
200,3000,12,6,18
500,3000,2,1,3
1000,3000,0,0,0